time,temp,rhum,prcp,snwd,wdir,wspd,wpgt,pres,tsun,cldc,coco
2025-09-29 00:00:00+01:00,7.6,91,0.0,,282,7.4,14.8,1024.1,0,2,1
2025-09-29 01:00:00+01:00,7.1,91,0.0,,277,9.3,14.8,1024.4,0,2,1
2025-09-29 02:00:00+01:00,6.7,93,0.0,,276,9.3,14.8,1024.4,0,1,1
2025-09-29 03:00:00+01:00,6.4,93,0.0,,274,9.3,16.7,1024.5,0,1,1
2025-09-29 04:00:00+01:00,6.1,92,0.0,,274,9.3,16.7,1024.5,0,2,1
2025-09-29 05:00:00+01:00,5.9,94,0.0,,275,7.4,14.8,1024.4,0,2,1
2025-09-29 06:00:00+01:00,5.5,94,0.0,,271,7.4,14.8,1024.4,0,3,1
2025-09-29 07:00:00+01:00,5.4,95,0.0,,269,7.4,13.0,1024.7,0,3,1
2025-09-29 08:00:00+01:00,6.1,94,0.0,,266,5.5,13.0,1024.8,17,3,1
2025-09-29 09:00:00+01:00,7.4,92,0.0,,260,5.5,13.0,1024.9,31,2,1
2025-09-29 10:00:00+01:00,9.2,88,0.0,,250,5.5,13.0,1024.9,40,2,1
2025-09-29 11:00:00+01:00,11.8,78,0.0,,230,7.4,13.0,1025.0,42,2,1
2025-09-29 12:00:00+01:00,13.2,73,0.0,,212,7.4,14.8,1024.8,40,2,1
2025-09-29 13:00:00+01:00,13.9,69,0.0,,201,7.4,14.8,1024.6,36,2,1
2025-09-29 14:00:00+01:00,14.4,67,0.0,,204,7.4,16.7,1024.4,29,3,2
2025-09-29 15:00:00+01:00,14.4,67,0.0,,201,9.3,16.7,1024.1,22,4,2
2025-09-29 16:00:00+01:00,14.3,67,0.0,,204,7.4,14.8,1023.8,16,6,2
2025-09-29 17:00:00+01:00,14.2,67,0.0,,199,5.5,13.0,1023.6,8,5,4
2025-09-29 18:00:00+01:00,13.4,71,0.0,,211,5.5,13.0,1023.7,3,7,4
2025-09-29 19:00:00+01:00,12.5,76,0.0,,242,5.5,11.1,1023.8,0,7,4
2025-09-29 20:00:00+01:00,11.8,80,0.0,,282,5.5,11.1,1023.9,0,8,4
2025-09-29 21:00:00+01:00,11.6,80,0.0,,278,5.5,11.1,1023.9,0,8,4
2025-09-29 22:00:00+01:00,10.9,84,0.0,,266,7.4,13.0,1023.9,0,8,4
2025-09-29 23:00:00+01:00,10.2,87,0.0,,257,7.4,13.0,1023.9,0,8,4
2025-09-30 00:00:00+01:00,9.7,89,0.0,,253,7.4,13.0,1023.8,0,7,4
2025-09-30 01:00:00+01:00,9.4,89,0.0,,253,7.4,13.0,1023.7,0,7,4
2025-09-30 02:00:00+01:00,9.4,88,0.0,,250,7.4,13.0,1023.6,0,7,4
2025-09-30 03:00:00+01:00,9.4,87,0.0,,248,7.4,14.8,1023.2,0,6,4
2025-09-30 04:00:00+01:00,9.4,87,0.0,,246,7.4,14.8,1022.9,0,6,4
2025-09-30 05:00:00+01:00,9.3,87,0.0,,247,7.4,13.0,1022.9,0,6,4
2025-09-30 06:00:00+01:00,9.4,87,0.0,,252,5.5,13.0,1023.0,0,6,4
2025-09-30 07:00:00+01:00,9.5,89,0.0,,250,5.5,13.0,1023.1,0,6,4
2025-09-30 08:00:00+01:00,10.0,90,0.0,,247,5.5,13.0,1023.4,5,6,4
2025-09-30 09:00:00+01:00,11.0,89,0.0,,233,5.5,13.0,1023.6,10,5,4
2025-09-30 10:00:00+01:00,12.4,85,0.0,,225,7.4,14.8,1023.8,15,5,4
2025-09-30 11:00:00+01:00,13.9,81,0.0,,207,9.3,18.5,1024.2,20,6,4
2025-09-30 12:00:00+01:00,14.9,77,0.0,,202,11.1,20.4,1024.0,21,6,4
2025-09-30 13:00:00+01:00,15.6,74,0.0,,201,11.1,22.2,1024.0,22,6,4
2025-09-30 14:00:00+01:00,16.1,71,0.0,,204,13.0,22.2,1024.2,21,6,4
2025-09-30 15:00:00+01:00,16.3,70,0.0,,203,13.0,24.1,1024.1,17,7,4
2025-09-30 16:00:00+01:00,16.4,71,0.0,,205,13.0,22.2,1024.0,14,7,4
2025-09-30 17:00:00+01:00,16.3,70,0.0,,204,13.0,22.2,1023.9,12,6,4
2025-09-30 18:00:00+01:00,15.4,74,0.0,,206,11.1,20.4,1024.1,9,5,4
2025-09-30 19:00:00+01:00,14.4,78,0.0,,207,9.3,16.7,1024.1,5,6,4
2025-09-30 20:00:00+01:00,14.1,80,0.0,,213,7.4,14.8,1024.3,0,6,4
2025-09-30 21:00:00+01:00,14.0,79,0.0,,216,7.4,14.8,1024.5,0,7,4
2025-09-30 22:00:00+01:00,13.7,81,0.0,,218,7.4,14.8,1024.4,0,8,4
2025-09-30 23:00:00+01:00,13.1,82,0.0,,216,7.4,14.8,1024.1,0,6,4
2025-10-01 00:00:00+01:00,13.0,82,0.0,,210,7.4,13.0,1023.9,0,7,4
2025-10-01 01:00:00+01:00,13.0,82,0.0,,208,9.3,14.8,1023.6,0,8,4
2025-10-01 02:00:00+01:00,12.9,84,0.0,,207,9.3,14.8,1023.4,0,8,7
2025-10-01 03:00:00+01:00,13.0,84,0.0,,206,9.3,18.5,1023.0,0,8,7
2025-10-01 04:00:00+01:00,13.0,84,0.7,,207,9.3,16.7,1022.6,0,8,7
2025-10-01 05:00:00+01:00,13.2,85,0.3,,200,11.1,18.5,1022.0,0,8,7
2025-10-01 06:00:00+01:00,13.2,87,0.3,,197,9.3,18.5,1022.0,0,8,7
2025-10-01 07:00:00+01:00,13.4,88,0.4,,198,11.1,18.5,1021.9,0,8,7
2025-10-01 08:00:00+01:00,13.6,90,0.7,,199,11.1,20.4,1022.2,0,8,7
2025-10-01 09:00:00+01:00,13.5,92,0.7,,195,11.1,20.4,1022.3,0,8,8
2025-10-01 10:00:00+01:00,13.6,94,0.7,,201,13.0,22.2,1022.3,0,8,8
2025-10-01 11:00:00+01:00,13.7,96,0.7,,197,13.0,22.2,1022.3,0,8,8
2025-10-01 12:00:00+01:00,13.9,96,0.7,,199,13.0,24.1,1022.3,0,8,7
2025-10-01 13:00:00+01:00,14.3,94,0.7,,206,14.8,25.9,1022.3,0,8,7
2025-10-01 14:00:00+01:00,14.6,93,0.4,,209,16.7,27.8,1022.2,0,8,7
2025-10-01 15:00:00+01:00,15.0,91,0.4,,209,16.7,27.8,1022.0,0,8,7
2025-10-01 16:00:00+01:00,15.5,89,0.4,,211,16.7,29.6,1021.8,0,8,7
2025-10-01 17:00:00+01:00,15.3,88,0.4,,211,18.5,29.6,1021.7,0,8,7
